service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000001-1,0,0,0,0,0,0,1,20190331,20190413
0000011-1,0,0,0,0,0,1,1,20190331,20190413
1111111-1,1,1,1,1,1,1,1,20190331,20190413
1111101-1,1,1,1,1,1,0,1,20190331,20190413
1111100-1,1,1,1,1,1,0,0,20190331,20190413
1111110-1,1,1,1,1,1,1,0,20190331,20190413
0000010-1,0,0,0,0,0,1,0,20190406,20190413
0000010-2,0,0,0,0,0,1,0,20190406,20190406
0000010-3,0,0,0,0,0,1,0,20190331,20190413
0000001-2,0,0,0,0,0,0,1,20190331,20190413
0000001-3,0,0,0,0,0,0,1,20190331,20190413
0000011-2,0,0,0,0,0,1,1,20190331,20190413
1111111-2,1,1,1,1,1,1,1,20190331,20190413
0000001-4,0,0,0,0,0,0,1,20190331,20190413
1111001-1,1,1,1,1,0,0,1,20190331,20190413
0000111-1,0,0,0,0,1,1,1,20190331,20190413
1111111-3,1,1,1,1,1,1,1,20190331,20190413
0000101-1,0,0,0,0,1,0,1,20190331,20190413
0000001-5,0,0,0,0,0,0,1,20190331,20190331
0000001-6,0,0,0,0,0,0,1,20190331,20190413
1111111-4,1,1,1,1,1,1,1,20190331,20190413
0000011-3,0,0,0,0,0,1,1,20190331,20190413
0000011-4,0,0,0,0,0,1,1,20190331,20190413
1111101-2,1,1,1,1,1,0,1,20190331,20190413
1111111-5,1,1,1,1,1,1,1,20190331,20190413
0000001-7,0,0,0,0,0,0,1,20190331,20190413
0000001-8,0,0,0,0,0,0,1,20190331,20190413
0000001-9,0,0,0,0,0,0,1,20190331,20190413
0000001-10,0,0,0,0,0,0,1,20190331,20190413
0000001-11,0,0,0,0,0,0,1,20190331,20190413
1111001-2,1,1,1,1,0,0,1,20190331,20190413
1111111-6,1,1,1,1,1,1,1,20190331,20190413
1111001-3,1,1,1,1,0,0,1,20190331,20190413
1111101-3,1,1,1,1,1,0,1,20190331,20190413
1111101-4,1,1,1,1,1,0,1,20190331,20190413
0000001-12,0,0,0,0,0,0,1,20190331,20190413
1111100-2,1,1,1,1,1,0,0,20190331,20190410
1111110-2,1,1,1,1,1,1,0,20190331,20190410
0000100-1,0,0,0,0,1,0,0,20190331,20190413
1111100-3,1,1,1,1,1,0,0,20190331,20190413
1111000-1,1,1,1,1,0,0,0,20190331,20190410
1111100-4,1,1,1,1,1,0,0,20190401,20190413
1111110-3,1,1,1,1,1,1,0,20190401,20190413
1111000-2,1,1,1,1,0,0,0,20190401,20190413
1111100-5,1,1,1,1,1,0,0,20190401,20190410
1111000-3,1,1,1,1,0,0,0,20190401,20190410
1111010-1,1,1,1,1,0,1,0,20190401,20190413
1111110-4,1,1,1,1,1,1,0,20190401,20190410
1111110-5,1,1,1,1,1,1,0,20190331,20190413
1111000-4,1,1,1,1,0,0,0,20190331,20190413
1111010-2,1,1,1,1,0,1,0,20190331,20190413
1111111-7,1,1,1,1,1,1,1,20190401,20190413
1111001-4,1,1,1,1,0,0,1,20190401,20190413
1111101-5,1,1,1,1,1,0,1,20190401,20190413
1111100-6,1,1,1,1,1,0,0,20190401,20190413
1111000-5,1,1,1,1,0,0,0,20190401,20190413
1111100-7,1,1,1,1,1,0,0,20190401,20190410
1111000-6,1,1,1,1,0,0,0,20190401,20190410
1111110-6,1,1,1,1,1,1,0,20190401,20190413
1111111-8,1,1,1,1,1,1,1,20190401,20190413
