service_id,date,exception_type
0000001-2,20190406,1
0000001-3,20190401,1
0000001-3,20190402,1
0000001-3,20190403,1
0000001-3,20190404,1
0000001-3,20190405,1
0000001-3,20190408,1
0000001-3,20190409,1
0000001-3,20190410,1
0000011-2,20190406,2
1111111-2,20190401,2
1111111-2,20190402,2
1111111-2,20190403,2
1111111-2,20190404,2
1111111-2,20190405,2
1111111-2,20190408,2
1111111-2,20190409,2
1111111-2,20190410,2
0000001-4,20190401,1
0000001-4,20190402,1
0000001-4,20190403,1
0000001-4,20190404,1
0000001-4,20190405,1
0000001-4,20190406,1
0000001-4,20190408,1
0000001-4,20190409,1
0000001-4,20190410,1
1111111-3,20190406,2
0000001-6,20190401,1
0000001-6,20190402,1
0000001-6,20190403,1
0000001-6,20190404,1
0000001-6,20190408,1
0000001-6,20190409,1
0000001-6,20190410,1
1111111-4,20190404,2
0000011-3,20190406,2
0000011-3,20190407,2
0000011-4,20190407,2
1111101-2,20190406,1
1111111-5,20190411,2
1111111-5,20190412,2
0000001-7,20190401,1
0000001-7,20190402,1
0000001-7,20190403,1
0000001-7,20190405,1
0000001-7,20190406,1
0000001-7,20190408,1
0000001-7,20190409,1
0000001-7,20190410,1
0000001-8,20190401,1
0000001-8,20190402,1
0000001-8,20190403,1
0000001-8,20190408,1
0000001-8,20190409,1
0000001-8,20190410,1
0000001-9,20190401,1
0000001-9,20190402,1
0000001-9,20190403,1
0000001-9,20190404,1
0000001-9,20190405,1
0000001-9,20190406,1
0000001-9,20190408,1
0000001-9,20190409,1
0000001-10,20190401,1
0000001-10,20190402,1
0000001-10,20190403,1
0000001-10,20190404,1
0000001-10,20190408,1
0000001-10,20190409,1
0000001-11,20190401,1
0000001-11,20190402,1
0000001-11,20190403,1
0000001-11,20190405,1
0000001-11,20190408,1
0000001-11,20190409,1
0000001-11,20190410,1
1111001-2,20190404,2
1111111-6,20190405,2
1111001-3,20190405,1
1111001-3,20190406,1
1111001-3,20190410,2
1111001-3,20190411,2
1111101-3,20190404,2
1111101-4,20190405,2
1111101-4,20190406,1
0000001-12,20190401,1
0000001-12,20190402,1
0000001-12,20190403,1
0000001-12,20190404,1
0000001-12,20190406,1
0000001-12,20190408,1
0000001-12,20190409,1
0000001-12,20190410,1
0000100-1,20190401,1
0000100-1,20190402,1
0000100-1,20190403,1
0000100-1,20190404,1
0000100-1,20190408,1
0000100-1,20190409,1
0000100-1,20190410,1
1111100-3,20190406,1
1111110-5,20190406,2
1111100-6,20190404,2
1111000-5,20190404,2
1111100-7,20190404,2
1111000-6,20190404,2
1111110-6,20190404,2
1111111-8,20190404,2
0000001-13,20190401,1
0000001-13,20190402,1
0000001-13,20190403,1
0000001-13,20190404,1
0000001-13,20190405,1
0000001-13,20190408,1
0000001-13,20190409,1
0000001-13,20190410,1
1111000-8,20190401,2
1111000-8,20190402,2
1111000-8,20190403,2
0000110-5,20190412,2
1111110-8,20190401,2
1111110-8,20190402,2
1111110-8,20190403,2
1111110-8,20190404,2
1111110-8,20190405,2
1111110-8,20190406,2
1111110-8,20190408,2
1111110-8,20190409,2
0000001-15,20190406,1
0000001-15,20190413,1
1111111-9,20190408,2
1111111-9,20190409,2
1111111-9,20190410,2
1111111-9,20190411,2
1111111-9,20190412,2
1111111-9,20190413,2
1111001-5,20190408,2
1111001-5,20190409,2
1111001-5,20190410,2
1111001-5,20190411,2
1111100-9,20190402,2
1111100-9,20190403,2
1111100-9,20190404,2
1111100-9,20190405,2
1111100-11,20190408,2
0000110-8,20190412,2
0000110-8,20190413,2
1111110-10,20190401,2
1111110-10,20190402,2
1111110-10,20190403,2
1111110-10,20190404,2
1111110-10,20190405,2
1111110-10,20190406,2
1111000-11,20190401,2
1111000-11,20190402,2
1111000-11,20190403,2
1111000-11,20190404,2
0000110-9,20190405,2
0000110-9,20190406,2
0000011-8,20190406,2
0000011-8,20190413,2
1111111-10,20190406,2
1111111-10,20190413,2
1111111-11,20190405,2
1111111-11,20190406,2
1111111-11,20190412,2
1111111-11,20190413,2
1111111-12,20190401,2
1111111-12,20190402,2
1111111-12,20190403,2
1111111-12,20190404,2
1111111-12,20190408,2
1111111-12,20190409,2
1111111-12,20190410,2
1111111-12,20190411,2
1111111-13,20190405,2
1111111-13,20190412,2
1111111-14,20190402,2
1111111-14,20190403,2
1111111-14,20190404,2
1111111-14,20190405,2
1111111-14,20190409,2
1111111-14,20190410,2
1111111-14,20190411,2
1111111-14,20190412,2
1111111-15,20190331,2
1111111-15,20190407,2
1111100-14,20190402,2
1111100-14,20190403,2
1111100-14,20190404,2
1111100-14,20190405,2
1111100-14,20190409,2
1111100-14,20190410,2
1111100-14,20190411,2
1111100-14,20190412,2
1111100-15,20190405,2
1111100-15,20190412,2
1111000-12,20190405,1
1111000-12,20190412,1
1111111-16,20190331,2
1111111-16,20190405,2
1111111-16,20190407,2
1111111-16,20190412,2
1111100-16,20190401,2
1111100-16,20190408,2
1111111-17,20190331,2
1111111-17,20190401,2
1111111-17,20190402,2
1111111-17,20190403,2
1111111-17,20190404,2
1111111-17,20190407,2
1111111-17,20190408,2
1111111-17,20190409,2
