route_id,route_licence_number,sub_agency_name
L991,199991,"Dopravní podnik hl. m. Prahy, akciová společnost"
L992,199992,"Dopravní podnik hl. m. Prahy, akciová společnost"
L993,199993,"Dopravní podnik hl. m. Prahy, akciová společnost"
L1,199001,"Dopravní podnik hl. m. Prahy, akciová společnost"
L2,199002,"Dopravní podnik hl. m. Prahy, akciová společnost"
L3,199003,"Dopravní podnik hl. m. Prahy, akciová společnost"
L4,199004,"Dopravní podnik hl. m. Prahy, akciová společnost"
L5,199005,"Dopravní podnik hl. m. Prahy, akciová společnost"
L6,199006,"Dopravní podnik hl. m. Prahy, akciová společnost"
L7,199007,"Dopravní podnik hl. m. Prahy, akciová společnost"
L8,199008,"Dopravní podnik hl. m. Prahy, akciová společnost"
L9,199009,"Dopravní podnik hl. m. Prahy, akciová společnost"
L10,199010,"Dopravní podnik hl. m. Prahy, akciová společnost"
L11,199011,"Dopravní podnik hl. m. Prahy, akciová společnost"
L12,199012,"Dopravní podnik hl. m. Prahy, akciová společnost"
L14,199014,"Dopravní podnik hl. m. Prahy, akciová společnost"
L15,199015,"Dopravní podnik hl. m. Prahy, akciová společnost"
L16,199016,"Dopravní podnik hl. m. Prahy, akciová společnost"
L17,199017,"Dopravní podnik hl. m. Prahy, akciová společnost"
L18,199018,"Dopravní podnik hl. m. Prahy, akciová společnost"
L20,199020,"Dopravní podnik hl. m. Prahy, akciová společnost"
L21,199021,"Dopravní podnik hl. m. Prahy, akciová společnost"
L22,199022,"Dopravní podnik hl. m. Prahy, akciová společnost"
L23,199023,"Dopravní podnik hl. m. Prahy, akciová společnost"
L24,199024,"Dopravní podnik hl. m. Prahy, akciová společnost"
L25,199025,"Dopravní podnik hl. m. Prahy, akciová společnost"
L26,199026,"Dopravní podnik hl. m. Prahy, akciová společnost"
L49,199049,"Dopravní podnik hl. m. Prahy, akciová společnost"
L91,199091,"Dopravní podnik hl. m. Prahy, akciová společnost"
L92,199092,"Dopravní podnik hl. m. Prahy, akciová společnost"
L93,199093,"Dopravní podnik hl. m. Prahy, akciová společnost"
L94,199094,"Dopravní podnik hl. m. Prahy, akciová společnost"
L95,199095,"Dopravní podnik hl. m. Prahy, akciová společnost"
L96,199096,"Dopravní podnik hl. m. Prahy, akciová společnost"
L97,199097,"Dopravní podnik hl. m. Prahy, akciová společnost"
L98,199098,"Dopravní podnik hl. m. Prahy, akciová společnost"
L99,199099,"Dopravní podnik hl. m. Prahy, akciová společnost"
L58,199058,"Dopravní podnik hl. m. Prahy, akciová společnost"
L100,100100,"Dopravní podnik hl. m. Prahy, akciová společnost"
L101,100101,"Dopravní podnik hl. m. Prahy, akciová společnost"
L102,100102,"Dopravní podnik hl. m. Prahy, akciová společnost"
L103,100103,"Dopravní podnik hl. m. Prahy, akciová společnost"
L105,100105,"Dopravní podnik hl. m. Prahy, akciová společnost"
L106,100106,"Dopravní podnik hl. m. Prahy, akciová společnost"
L107,100107,"Dopravní podnik hl. m. Prahy, akciová společnost"
L108,100108,"Dopravní podnik hl. m. Prahy, akciová společnost"
L109,100109,"Dopravní podnik hl. m. Prahy, akciová společnost"
L111,100111,"Dopravní podnik hl. m. Prahy, akciová společnost"
L112,100112,"Dopravní podnik hl. m. Prahy, akciová společnost"
L113,100113,"Dopravní podnik hl. m. Prahy, akciová společnost"
L116,100116,"Dopravní podnik hl. m. Prahy, akciová společnost"
L118,100118,"Dopravní podnik hl. m. Prahy, akciová společnost"
L119,100119,"Dopravní podnik hl. m. Prahy, akciová společnost"
L120,100120,"Dopravní podnik hl. m. Prahy, akciová společnost"
L121,100121,"Dopravní podnik hl. m. Prahy, akciová společnost"
L123,100123,"Dopravní podnik hl. m. Prahy, akciová společnost"
L124,100124,"Dopravní podnik hl. m. Prahy, akciová společnost"
L125,100125,"Dopravní podnik hl. m. Prahy, akciová společnost"
L128,100128,"Dopravní podnik hl. m. Prahy, akciová společnost"
L129,100129,"Dopravní podnik hl. m. Prahy, akciová společnost"
L130,100130,"Dopravní podnik hl. m. Prahy, akciová společnost"
L131,100131,"Dopravní podnik hl. m. Prahy, akciová společnost"
L133,100133,"Dopravní podnik hl. m. Prahy, akciová společnost"
L134,100134,"Dopravní podnik hl. m. Prahy, akciová společnost"
L135,100135,"Dopravní podnik hl. m. Prahy, akciová společnost"
L136,100136,"Dopravní podnik hl. m. Prahy, akciová společnost"
L137,100137,"Dopravní podnik hl. m. Prahy, akciová společnost"
L138,100138,"Dopravní podnik hl. m. Prahy, akciová společnost"
L139,100139,"Dopravní podnik hl. m. Prahy, akciová společnost"
L140,100140,"Dopravní podnik hl. m. Prahy, akciová společnost"
L141,100141,"Dopravní podnik hl. m. Prahy, akciová společnost"
L142,100142,"Dopravní podnik hl. m. Prahy, akciová společnost"
L143,100143,"Dopravní podnik hl. m. Prahy, akciová společnost"
L144,100144,"Dopravní podnik hl. m. Prahy, akciová společnost"
L145,100145,"Dopravní podnik hl. m. Prahy, akciová společnost"
L147,100147,"Dopravní podnik hl. m. Prahy, akciová společnost"
