from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
U1072S1,U1072S2,2,240,,
U1072S2,U1072S1,2,240,,
U400S1,U400S2,2,180,,
U400S2,U400S1,2,180,,
U689S1,U689S2,2,240,,
U689S2,U689S1,2,240,,
U28Z2P,U28Z2P,1,,221_604_190316,163_831_190316
U28Z1P,U28Z1P,1,,221_190_181027,163_306_180928
U28Z2P,U28Z2P,1,,221_605_190316,163_832_190316
U28Z1P,U28Z1P,1,,221_516_181027,163_308_180928
U28Z2P,U28Z2P,1,,221_606_190316,163_833_190316
U28Z1P,U28Z1P,1,,221_517_181027,163_680_181027
U28Z2P,U28Z2P,1,,221_607_190316,163_834_190316
U28Z1P,U28Z1P,1,,221_518_181027,163_681_181027
U28Z2P,U28Z2P,1,,221_608_190316,163_835_190316
U28Z1P,U28Z1P,1,,221_519_181027,163_682_181027
U28Z2P,U28Z2P,1,,221_609_190316,163_836_190316
U28Z1P,U28Z1P,1,,221_520_181027,163_683_181027
U28Z2P,U28Z2P,1,,221_610_190316,163_837_190316
U28Z1P,U28Z1P,1,,221_521_181027,163_684_181027
U28Z2P,U28Z2P,1,,221_611_190316,163_838_190316
U28Z1P,U28Z1P,1,,221_522_181027,163_685_181027
U28Z2P,U28Z2P,1,,221_612_190316,163_839_190316
U28Z1P,U28Z1P,1,,221_523_181027,163_686_181027
U28Z2P,U28Z2P,1,,221_613_190316,163_840_190316
U28Z1P,U28Z1P,1,,221_524_181027,163_687_181027
U28Z2P,U28Z2P,1,,221_599_190316,163_798_190311
U28Z2P,U28Z2P,1,,221_599_190311,163_798_190311
U28Z1P,U28Z1P,1,,221_200_181027,163_326_180928
U28Z1P,U28Z1P,1,,221_200_181022,163_326_180928
U28Z2P,U28Z2P,1,,221_600_190316,163_799_190311
U28Z2P,U28Z2P,1,,221_600_190311,163_799_190311
U28Z1P,U28Z1P,1,,221_201_181027,163_328_180928
U28Z1P,U28Z1P,1,,221_201_181022,163_328_180928
U28Z1P,U28Z1P,1,,221_528_181117,163_703_181117
U28Z1P,U28Z1P,1,,221_528_181119,163_703_181117
U28Z2P,U28Z2P,1,,221_624_190316,163_777_190311
U28Z2P,U28Z2P,1,,221_565_190311,163_777_190311
U28Z1P,U28Z1P,1,,221_176_181027,163_331_180928
U28Z2P,U28Z2P,1,,221_625_190316,163_841_190316
U28Z1P,U28Z1P,1,,221_177_181027,163_333_180928
U28Z2P,U28Z2P,1,,221_626_190316,163_842_190316
U28Z1P,U28Z1P,1,,221_508_181027,163_335_180928
U28Z2P,U28Z2P,1,,221_627_190316,163_843_190316
U28Z1P,U28Z1P,1,,221_509_181027,163_688_181027
U28Z2P,U28Z2P,1,,221_628_190316,163_844_190316
U28Z1P,U28Z1P,1,,221_510_181027,163_689_181027
U28Z2P,U28Z2P,1,,221_629_190316,163_845_190316
U28Z1P,U28Z1P,1,,221_511_181027,163_690_181027
U28Z2P,U28Z2P,1,,221_630_190316,163_846_190316
U28Z1P,U28Z1P,1,,221_512_181027,163_691_181027
U28Z2P,U28Z2P,1,,221_631_190316,163_847_190316
U28Z1P,U28Z1P,1,,221_513_181027,163_692_181027
U28Z2P,U28Z2P,1,,221_632_190316,163_848_190316
U28Z1P,U28Z1P,1,,221_514_181027,163_693_181027
U28Z2P,U28Z2P,1,,221_633_190316,163_849_190316
U28Z1P,U28Z1P,1,,221_515_181027,163_694_181027
U28Z2P,U28Z2P,1,,221_586_190316,163_850_190316
U28Z1P,U28Z1P,1,,221_499_181022,163_351_180928
U28Z2P,U28Z2P,1,,221_587_190316,163_787_190311
U28Z2P,U28Z2P,1,,221_587_190311,163_787_190311
U28Z1P,U28Z1P,1,,221_187_181022,163_353_180928
U28Z2P,U28Z2P,1,,221_588_190316,163_788_190311
U28Z2P,U28Z2P,1,,221_588_190311,163_788_190311
U28Z1P,U28Z1P,1,,221_188_181022,163_355_180928
U28Z2P,U28Z2P,1,,221_614_190316,163_851_190316
U28Z1P,U28Z1P,1,,221_164_181027,163_358_180928
U28Z2P,U28Z2P,1,,221_615_190316,163_852_190316
U28Z1P,U28Z1P,1,,221_165_181027,163_360_180928
U28Z2P,U28Z2P,1,,221_616_190316,163_853_190316
U28Z1P,U28Z1P,1,,221_500_181027,163_695_181027
U28Z2P,U28Z2P,1,,221_617_190316,163_854_190316
U28Z1P,U28Z1P,1,,221_501_181027,163_696_181027
U28Z2P,U28Z2P,1,,221_618_190316,163_855_190316
U28Z1P,U28Z1P,1,,221_502_181027,163_697_181027
U28Z2P,U28Z2P,1,,221_619_190316,163_856_190316
U28Z1P,U28Z1P,1,,221_503_181027,163_698_181027
U28Z2P,U28Z2P,1,,221_620_190316,163_857_190316
U28Z1P,U28Z1P,1,,221_504_181027,163_699_181027
U28Z2P,U28Z2P,1,,221_621_190316,163_858_190316
U28Z1P,U28Z1P,1,,221_505_181027,163_700_181027
U28Z2P,U28Z2P,1,,221_622_190316,163_859_190316
U28Z1P,U28Z1P,1,,221_506_181027,163_701_181027
U28Z2P,U28Z2P,1,,221_623_190316,163_860_190316
U28Z1P,U28Z1P,1,,221_507_181027,163_702_181027
U28Z2P,U28Z2P,1,,221_574_190311,163_810_190311
U28Z1P,U28Z1P,1,,221_174_181027,163_378_180928
U28Z1P,U28Z1P,1,,221_174_181022,163_378_180928
U28Z2P,U28Z2P,1,,221_575_190311,163_811_190311
U28Z1P,U28Z1P,1,,221_175_181027,163_380_180928
U28Z1P,U28Z1P,1,,221_175_181022,163_380_180928
U28Z2P,U28Z2P,1,,221_576_190311,163_812_190311
U28Z1P,U28Z1P,1,,221_526_181117,163_704_181117
U28Z1P,U28Z1P,1,,221_526_181119,163_704_181117
U461Z301,U461Z2P,1,,1309_194_181223,209_614_190316
U461Z301,U461Z2P,1,,1309_16_181218,209_614_190316
U461Z301,U461Z2P,1,,1309_143_181222,209_615_190316
U461Z301,U461Z2P,1,,1309_81_181218,209_616_190316
U461Z301,U461Z2P,1,,1309_70_181218,209_617_190316
U461Z301,U461Z2P,1,,1309_58_181218,209_589_190311
U461Z301,U461Z2P,1,,1309_154_181218,209_618_190316
U461Z301,U461Z2P,1,,1309_195_181223,209_619_190316
U461Z301,U461Z2P,1,,1309_48_181218,209_619_190316
U461Z301,U461Z2P,1,,1309_140_181222,209_620_190316
U461Z301,U461Z2P,1,,1309_133_181222,209_621_190316
U461Z301,U461Z2P,1,,1309_54_181218,209_622_190316
U461Z301,U461Z2P,1,,1309_101_181218,209_623_190316
U461Z301,U461Z2P,1,,1309_178_181218,209_583_190316
U461Z301,U461Z2P,1,,1309_138_181222,209_624_190316
U461Z301,U461Z2P,1,,1309_97_181218,209_625_190316
U461Z301,U461Z2P,1,,1309_22_181218,209_626_190316
U461Z301,U461Z2P,1,,1309_85_181218,209_601_190316
U454Z301,U454Z2P,1,,1301_92_180501,211_134_180901
U454Z301,U454Z2P,1,,1301_243_181209,211_98_180501
U454Z301,U454Z2P,1,,1301_244_181209,211_41_181119
U454Z301,U454Z2P,1,,1301_74_181218,211_72_180901
U454Z301,U454Z2P,1,,1301_84_181222,211_11_180501
U454Z301,U454Z2P,1,,1301_94_180501,211_49_180501
U454Z301,U454Z2,1,,1301_85_181222,391_57_180901
U454Z301,U454Z2P,1,,1301_96_180501,211_94_180501
U454Z301,U454Z2P,1,,1301_87_181222,211_90_180501
U454Z301,U454Z2,1,,1301_98_180501,391_59_180901
U454Z301,U454Z2P,1,,1301_89_181222,211_55_180501
U454Z301,U454Z2P,1,,1301_233_181209,211_97_180501
U454Z301,U454Z2P,1,,1301_238_181209,211_35_180501
U454Z301,U454Z2P,1,,1301_59_181209,211_68_180901
U454Z301,U454Z2P,1,,1301_20_181209,211_70_180901
U454Z301,U454Z2P,1,,1301_7_181209,211_117_180501
U454Z301,U454Z2P,1,,1301_61_181209,211_43_181119
U454Z301,U454Z2P,1,,1301_22_181209,211_45_180901
U454Z301,U454Z2P,1,,1301_162_181209,211_118_180501
U454Z301,U454Z2P,1,,1301_234_181209,211_119_180501
U454Z301,U454Z2P,1,,1301_239_181209,211_121_180501
U454Z301,U454Z2P,1,,1301_235_181209,211_122_180501
U454Z301,U454Z2P,1,,1301_241_181209,211_123_180501
U454Z301,U454Z2P,1,,1301_26_181209,211_124_180501
U454Z301,U454Z2P,1,,1301_240_181209,211_57_180901
U28Z2P,U28Z2P,1,,163_831_190316,221_604_190316
U28Z1P,U28Z1P,1,,163_358_180928,221_164_181027
U454Z301,U454Z3P,1,,1301_57_181209,221_164_181027
U28Z2P,U28Z2P,1,,163_832_190316,221_605_190316
U28Z1P,U28Z1P,1,,163_360_180928,221_165_181027
U454Z301,U454Z3P,1,,1301_252_181218,221_165_181027
U28Z2P,U28Z2P,1,,163_833_190316,221_606_190316
U28Z1P,U28Z1P,1,,163_695_181027,221_500_181027
U454Z301,U454Z3P,1,,1301_59_181209,221_500_181027
U28Z2P,U28Z2P,1,,163_834_190316,221_607_190316
U28Z1P,U28Z1P,1,,163_696_181027,221_501_181027
U454Z301,U454Z3P,1,,1301_244_181209,221_501_181027
U28Z2P,U28Z2P,1,,163_835_190316,221_608_190316
U28Z1P,U28Z1P,1,,163_697_181027,221_502_181027
U454Z301,U454Z3P,1,,1301_61_181209,221_502_181027
U28Z2P,U28Z2P,1,,163_836_190316,221_609_190316
U28Z1P,U28Z1P,1,,163_698_181027,221_503_181027
U454Z301,U454Z3P,1,,1301_84_181222,221_503_181027
U28Z2P,U28Z2P,1,,163_837_190316,221_610_190316
U28Z1P,U28Z1P,1,,163_699_181027,221_504_181027
U454Z301,U454Z3P,1,,1301_234_181209,221_504_181027
U28Z2P,U28Z2P,1,,163_838_190316,221_611_190316
U28Z1P,U28Z1P,1,,163_700_181027,221_505_181027
U454Z301,U454Z3P,1,,1301_96_180501,221_505_181027
U28Z2P,U28Z2P,1,,163_839_190316,221_612_190316
U28Z1P,U28Z1P,1,,163_701_181027,221_506_181027
U454Z301,U454Z3P,1,,1301_241_181209,221_506_181027
U28Z2P,U28Z2P,1,,163_840_190316,221_613_190316
U28Z1P,U28Z1P,1,,163_702_181027,221_507_181027
U454Z301,U454Z3P,1,,1301_89_181222,221_507_181027
U28Z2P,U28Z2P,1,,163_798_190311,221_599_190316
U28Z1P,U28Z1P,1,,163_378_180928,221_174_181027
U454Z301,U454Z3P,1,,1301_236_181209,221_174_181027
U28Z2P,U28Z2P,1,,163_799_190311,221_600_190316
U28Z1P,U28Z1P,1,,163_380_180928,221_175_181027
U454Z301,U454Z3P,1,,1301_100_181209,221_175_181027
U454Z301,U454Z3P,1,,1301_249_181215,221_175_181027
U28Z1P,U28Z1P,1,,163_704_181117,221_526_181117
U28Z2P,U28Z2P,1,,163_851_190316,221_614_190316
U28Z1P,U28Z1P,1,,163_331_180928,221_176_181027
U28Z2P,U28Z2P,1,,163_852_190316,221_615_190316
U28Z1P,U28Z1P,1,,163_333_180928,221_177_181027
U454Z301,U454Z3P,1,,1301_233_181209,221_177_181027
U28Z2P,U28Z2P,1,,163_853_190316,221_616_190316
U28Z1P,U28Z1P,1,,163_335_180928,221_508_181027
U454Z301,U454Z3P,1,,1301_243_181209,221_508_181027
U28Z2P,U28Z2P,1,,163_854_190316,221_617_190316
U28Z1P,U28Z1P,1,,163_688_181027,221_509_181027
U454Z301,U454Z3P,1,,1301_20_181209,221_509_181027
U28Z2P,U28Z2P,1,,163_855_190316,221_618_190316
U28Z1P,U28Z1P,1,,163_689_181027,221_510_181027
U454Z301,U454Z3P,1,,1301_74_181218,221_510_181027
U28Z2P,U28Z2P,1,,163_856_190316,221_619_190316
U28Z1P,U28Z1P,1,,163_690_181027,221_511_181027
U454Z301,U454Z3P,1,,1301_22_181209,221_511_181027
U28Z2P,U28Z2P,1,,163_857_190316,221_620_190316
U28Z1P,U28Z1P,1,,163_691_181027,221_512_181027
U454Z301,U454Z3P,1,,1301_94_180501,221_512_181027
